corpus	lang_prof	xml_file	sent_num	src	tgt	corrected	text_type	line_start	line_end
Kolipsi_1_L1	L1	M0002_1.xml	1	Hi Otto, du glaubst gar nicht was Maria gestern passiert ist!	Hi Otto, du glaubst gar nicht was Maria gestern passiert ist!	False	picture story	1	14
Kolipsi_1_L1	L1	M0002_1.xml	2	Sie hat beim Obsthändler Gemüse gekauft und danach noch im Supermarkt eingekauft.	Sie hat beim Obsthändler Gemüse gekauft und danach noch im Supermarkt eingekauft.	False	picture story	15	28
Kolipsi_1_L1	L1	M0002_1.xml	3	Als sie dann an der Kasse stand hat die Kassiererin das Gemüse im Rucksack gesehen und wollte nicht glauben, dass Maria das Obst woanders gekauft hat.	Als sie dann an der Kasse stand hat die Kassiererin das Gemüse im Rucksack gesehen und wollte nicht glauben, dass Maria das Obst woanders gekauft hat.	False	picture story	29	57
Kolipsi_1_L1	L1	M0002_1.xml	4	Da man ja keine Sachen aus dem Supermarkt, die man noch nicht bezahlt hat, in einen Rucksack oder eine Tasche packen darf, hat die Kassiererin behauptet sie hätte das Gemüse geklaut.	Da man ja keine Sachen aus dem Supermarkt, die man noch nicht bezahlt hat, in einen Rucksack oder eine Tasche packen darf, hat die Kassiererin behauptet sie hätte das Gemüse geklaut.	False	picture story	58	93
Kolipsi_1_L1	L1	M0002_1.xml	5	Maria musste in das Büro des Supermarktes gehen und erst als die Polizei kam wurde aufgeklärt, dass Maria die Sachen nicht geklaut hatte, weil man manche Gemüsesorten gar nicht in dem Supermarkt kaufen konnte!	Maria musste in das Büro des Supermarktes gehen und erst als die Polizei kam wurde aufgeklärt, dass Maria die Sachen nicht geklaut hatte, weil man manche Gemüsesorten gar nicht in dem Supermarkt kaufen konnte!	False	picture story	94	131
Kolipsi_1_L1	L1	M0002_1.xml	6	Ich finde das unglaublich - es kann doch nicht sein das wegen ein bisschen Gemüse so ein Aufstand gemacht wird....	Ich finde das unglaublich - es kann doch nicht sein dass wegen ein bisschen Gemüse so ein Aufstand gemacht wird....	True	picture story	132	156
Kolipsi_1_L1	L1	M0002_1.xml	7	Oder wie siehst du das?	Oder wie siehst du das?	False	picture story	157	163
Kolipsi_1_L1	L1	M0002_1.xml	8	Wenn ich Maria wäre, würde ich nicht mehr da einkaufen - so eine Frechheit!	Wenn ich Maria wäre, würde ich nicht mehr da einkaufen - so eine Frechheit!	False	picture story	164	180
Kolipsi_1_L1	L1	M0002_1.xml	9	Gibt es sonst bei dir noch was zu erzählen?	Gibt es sonst bei dir noch was zu erzählen?	False	picture story	181	191
Kolipsi_1_L1	L1	M0002_1.xml	10	Viele Grüße Hans Gustav Eichel Peter von Neundorff zu Mengenbroch	Viele Grüße Hans Gustav Eichel Peter von Neundorff zu Mengenbroch	False	picture story	192	202
Kolipsi_1_L1	L1	M0002_2.xml	1	Hi Otto, Peter, Susanne, wir wollten ja in den Sommerferien zusammen in den Urlaub fahren.	Hi Otto, Peter, Susanne, wir wollten ja in den Sommerferien zusammen in den Urlaub fahren.	False	opinion	203	222
Kolipsi_1_L1	L1	M0002_2.xml	2	Ich habe jetzt zwei Alternativen herausgesucht.	Ich habe jetzt zwei Alternativen herausgesucht.	False	opinion	223	230
Kolipsi_1_L1	L1	M0002_2.xml	3	Entweder wir fahren in die Berge oder ans Meer.	Entweder wir fahren in die Berge oder ans Meer.	False	opinion	231	241
Kolipsi_1_L1	L1	M0002_2.xml	4	In den Bergen wäre es besser, wenn wir uns viel bewegen wollen und viel von der Natur sehen möchten.	In den Bergen wäre es besser, wenn wir uns viel bewegen wollen und viel von der Natur sehen möchten.	False	opinion	242	263
Kolipsi_1_L1	L1	M0002_2.xml	5	Am Meer wäre es besser, wenn wir uns entspannen wollen.	Am Meer wäre es besser, wenn wir uns entspannen wollen.	False	opinion	264	276
Kolipsi_1_L1	L1	M0002_2.xml	6	In den Bergen würden wir nach Südtirol fahren, ans Meer nach Sylt an die Nordsee.	In den Bergen würden wir nach Südtirol fahren, ans Meer nach Sylt an die Nordsee.	False	opinion	277	294
Kolipsi_1_L1	L1	M0002_2.xml	7	Wir würden beide Male in einer Jugendherberge übernachten und mit dem Zug anreisen.	Wir würden beide Male in einer Jugendherberge übernachten und mit dem Zug anreisen.	False	opinion	295	309
Kolipsi_1_L1	L1	M0002_2.xml	8	Allerdings ist es auf Sylt deutlich teurer als in Südtirol und wir würden auf Sylt nur zwei Zweibettzimmer haben und in Südtirol ein Vierbettzimmer.	Allerdings ist es auf Sylt deutlich teurer als in Südtirol und wir würden auf Sylt nur zwei Zweibettzimmer haben und in Südtirol ein Vierbettzimmer.	False	opinion	310	335
Kolipsi_1_L1	L1	M0002_2.xml	9	Zusammenfassend würde ich sagen, dass ein Vierbettzimmer das günstiger ist besser ist als zwei teure Zweibettzimmer.	Zusammenfassend würde ich sagen, dass ein Vierbettzimmer das günstiger ist besser ist als zwei teure Zweibettzimmer.	False	opinion	336	354
Kolipsi_1_L1	L1	M0002_2.xml	10	Meiner Meinung nach wäre es trotzdem besser, wenn wir nach Sylt fahren, da ich mich lieber entspannen würde und wir letztes Jahr schon in den Bergen waren.	Meiner Meinung nach wäre es trotzdem besser, wenn wir nach Sylt fahren, da ich mich lieber entspannen würde und wir letztes Jahr schon in den Bergen waren.	False	opinion	355	385
Kolipsi_1_L1	L1	M0002_2.xml	11	Außerdem kann man mit dem Zug direkt nach Sylt durchfahren. -, was nach Südtirol nicht möglich ist!	Außerdem kann man mit dem Zug direkt nach Sylt durchfahren. -, was nach Südtirol nicht möglich ist!	False	opinion	386	406
Kolipsi_1_L1	L1	M0002_2.xml	12	Ich weiß ja nicht wie ihr das seht?	Ich weiß ja nicht wie ihr das seht?	False	opinion	407	416
Kolipsi_1_L1	L1	M0002_2.xml	13	Bis Bald und viele Grüße...	Bis bald und viele Grüße...	True	opinion	417	425
Kolipsi_1_L1	L1	M0002_2.xml	14	euer Hans Gustav Eichel Peter von Neundorff zu Mengenbroch	euer Hans Gustav Eichel Peter von Neundorff zu Mengenbroch	False	opinion	426	435
Kolipsi_1_L1	L1	M0003_1.xml	1	Lieber Horst, Letzten Montag war Maria, wie jeden Montag, im Supermarkt.	Lieber Horst, letzten Montag war Maria, wie jeden Montag, im Supermarkt.	True	picture story	436	451
Kolipsi_1_L1	L1	M0003_1.xml	2	Sie kaufte Salat, Käse, Milch und Eier.	Sie kaufte Salat, Käse, Milch und Eier.	False	picture story	452	462
Kolipsi_1_L1	L1	M0003_1.xml	3	Sie verbrachte insgesamt 30 min dort und lud ihren Einkaufswagen voll.	Sie verbrachte insgesamt 30 min dort und lud ihren Einkaufswagen voll.	False	picture story	463	475
Kolipsi_1_L1	L1	M0003_1.xml	4	An der Kasse lud Maria, wie sie dachte, alles wieder aus.	An der Kasse lud Maria, wie sie dachte, alles wieder aus.	False	picture story	476	490
Kolipsi_1_L1	L1	M0003_1.xml	5	Aber sie vergaß die Kaugummipackung, welche sie sich vorher in die Tasche gesteckt hatte.	Aber sie vergaß die Kaugummipackung, welche sie sich vorher in die Tasche gesteckt hatte.	False	picture story	491	507
Kolipsi_1_L1	L1	M0003_1.xml	6	Dementsprechend schlug die Arlamanlage an.	Dementsprechend schlug die Alarmanlage an.	True	picture story	508	514
Kolipsi_1_L1	L1	M0003_1.xml	7	Maria blieb sofort stehen, aber die Verkäuferin war sofort sehr aufgebracht und fing an Maria zu beschimpfen.	Maria blieb sofort stehen, aber die Verkäuferin war sofort sehr aufgebracht und fing an Maria zu beschimpfen.	False	picture story	515	534
Kolipsi_1_L1	L1	M0003_1.xml	8	Diese wollte sich zu erst noch verbal verteidigen, als dies aber nichts half begann Maria ebenfalls ausfallend zu werden.	Diese wollte sich zuerst noch verbal verteidigen, als dies aber nichts half begann Maria ebenfalls ausfallend zu werden.	True	picture story	535	555
Kolipsi_1_L1	L1	M0003_1.xml	9	Dies machte die Verkäuferinn nur noch wütender und sie begann Maria physisch zu attakieren.	Dies machte die Verkäuferin nur noch wütender und sie begann Maria physisch zu attackieren.	True	picture story	556	571
Kolipsi_1_L1	L1	M0003_1.xml	10	Da ließ Maria das Päckchen Kaugummis fallen und rannte nach Hause.	Da ließ Maria das Päckchen Kaugummis fallen und rannte nach Hause.	False	picture story	572	584
Kolipsi_1_L1	L1	M0003_1.xml	11	Die Verkäuferin verfolkte Maria nicht weiter.	Die Verkäuferin verfolgte Maria nicht weiter.	True	picture story	585	592
Kolipsi_1_L1	L1	M0003_1.xml	12	Diese Geschichte Maria immer noch zu schaffen.	Diese Geschichte Maria immer noch zu schaffen.	False	picture story	593	601
Kolipsi_1_L1	L1	M0003_2.xml	1	Lieber Horst, Ich habe in den letzten Tagen über unseren Urlaub nachgedacht und wollte dir in diesem Brief Vor- und Nachteile der Berge und des Meeres aufzeigen.	Lieber Horst, Ich habe in den letzten Tagen über unseren Urlaub nachgedacht und wollte dir in diesem Brief Vor- und Nachteile der Berge und des Meeres aufzeigen.	False	opinion	602	631
Kolipsi_1_L1	L1	M0003_2.xml	2	Die Berge sind sehr spannend, da man dort wundervolle Ausblicke genießen kann.	Die Berge sind sehr spannend, da man dort wundervolle Ausblicke genießen kann.	False	opinion	632	646
Kolipsi_1_L1	L1	M0003_2.xml	3	Man kann dort auch wandern gehen und einfach die Bergluft genießen.	Man kann dort auch wandern gehen und einfach die Bergluft genießen.	False	opinion	647	659
Kolipsi_1_L1	L1	M0003_2.xml	4	Aber auf der anderen Seite gibt es dort schnelle Wetterwechsel.	Aber auf der anderen Seite gibt es dort schnelle Wetterwechsel.	False	opinion	660	671
Kolipsi_1_L1	L1	M0003_2.xml	5	Oft bekommt man auch Kreislaufprobleme durch den Höhenunterschied.	Oft bekommt man auch Kreislaufprobleme durch den Höhenunterschied.	False	opinion	672	681
Kolipsi_1_L1	L1	M0003_2.xml	6	Das Meer hat die Vorteile, dass man schwimmen gehen kann und dass es sehr warm ist.	Das Meer hat die Vorteile, dass man schwimmen gehen kann und dass es sehr warm ist.	False	opinion	682	700
Kolipsi_1_L1	L1	M0003_2.xml	7	Man ist aber sehr abhängig vom Wetter und von der Temperatur.	Man ist aber sehr abhängig vom Wetter und von der Temperatur.	False	opinion	701	713
Kolipsi_1_L1	L1	M0003_2.xml	8	Außerdem kann man oft am Meer nichts besichtigen oder besuchen.	Außerdem kann man oft am Meer nichts besichtigen oder besuchen.	False	opinion	714	725
Kolipsi_1_L1	L1	M0003_2.xml	9	Ich persönlich würde die Berge vorziehen, da ich gerne wandern gehe und frische Luft liebe.	Ich persönlich würde die Berge vorziehen, da ich gerne wandern gehe und frische Luft liebe.	False	opinion	726	743
Kolipsi_1_L1	L1	M0003_2.xml	10	Weiterhin liebe ich gute und weite Ausblicke.	Weiterhin liebe ich gute und weite Ausblicke.	False	opinion	744	752
Kolipsi_1_L1	L1	M0003_2.xml	11	Wir müssen uns noch einmal darüber austauschen.	Wir müssen uns noch einmal darüber austauschen.	False	opinion	753	761
Kolipsi_1_L1	L1	M0003_2.xml	12	Ich warte auf ihre Antwort.	Ich warte auf ihre Antwort.	False	opinion	762	768
Kolipsi_1_L1	L1	M0004_1.xml	1	Ich hoffe dir geht es gut.	Ich hoffe dir geht es gut.	False	picture story	769	776
Kolipsi_1_L1	L1	M0004_1.xml	2	Meiner Freundin Maria ist heute etwas total unangenehmes passiert und sie kam direkt zu mir um sich zu beruhigen.	Meiner Freundin Maria ist heute etwas total Unangenehmes passiert und sie kam direkt zu mir um sich zu beruhigen.	True	picture story	777	797
Kolipsi_1_L1	L1	M0004_1.xml	3	Sie ging heute zum Gemüsehändler um für unseren Mädelskochabend einzukaufen und vergaß ihren Kassenbeleg auf der Theke.	Sie ging heute zum Gemüsehändler um für unseren Mädelskochabend einzukaufen und vergaß ihren Kassenbeleg auf der Theke.	False	picture story	798	816
