DF_INDEX	corpus	lang_prof	xml_file	sent_num	src	tgt	corrected	text_type	line_start	line_end	strat_key
17697	LEONIDE	L2	DE_pic_3_57X32A10_104.xml	1	Er hat sie umarmt er hat ihr einen kuss gegeben sie nahm ihm die Hand der Zug hat sich bewegt seine Hand ging los und mann sah den Zug langsam wegh fahren.	Er hat sie umarmt er hat ihr einen Kuss gegeben sie nahm ihm die Hand der Zug hat sich bewegt seine Hand ging los und man sah den Zug langsam wegfahren.	True	picture story	63791	63823	LEONIDE_picture story_True
5825	Kolipsi_1_L2	L2	4653_1.xml	1	Liebe Mirko, wie geht es dir?	Liebe Mirko, wie geht es dir?	False	picture story	16590	16598	Kolipsi_1_L2_picture story_False
3219	Kolipsi_1_L1	L1	M0163_2.xml	7	Erholung ist hier auf jeden Fall garantiert, da es im Naturschutzgebiet einige tolle Plätze gibt, an denen man sogar Kostengünstig die Seele baumeln lassen kann.	Erholung ist hier auf jeden Fall garantiert, da es im Naturschutzgebiet einige tolle Plätze gibt, an denen man sogar kostengünstig die Seele baumeln lassen kann.	True	opinion	56574	56602	Kolipsi_1_L1_opinion_True
1589	Kolipsi_1_L1	L1	M0084_1.xml	1	Ich habe heute etwas sehr lustiges von meiner Freundin Maria erzählt bekommen!	Ich habe heute etwas sehr Lustiges von meiner Freundin Maria erzählt bekommen!	True	picture story	28611	28624	Kolipsi_1_L1_picture story_True
12054	Kolipsi_2	L2	I24_SCA24DAV_1.xml	4	Maria ging dann für mich einkaufen, da sie selbst später zum Supermark musste.	Maria ging dann für mich einkaufen, da sie selbst später zum Supermarkt musste.	True	picture story	54482	54497	Kolipsi_2_picture story_True
15864	LEONIDE	L2	DE_pic_1_57X32A01_176.xml	5	Der Vater setzte sich auf dem Sofa.	Der Vater setzte sich auf dem Sofa.	False	picture story	34668	34676	LEONIDE_picture story_False
13368	Kolipsi_2	L2	I39_PRU01AND_1.xml	7	Die Frau der Kasse hatte alles gesehen und so entscheidet sie die Polizei zu anrufen, aber es war nutzloss: Maria war schon weggelaufen.	Die Frau der Kasse hatte alles gesehen und so entscheidet sie die Polizei zu anrufen, aber es war nutzlos: Maria war schon weggelaufen.	True	picture story	76323	76349	Kolipsi_2_picture story_True
10364	Kolipsi_2	L2	I11_LIB18MAN_1.xml	1	Liebe Angela, letzte Woche ist etwas witziges passiert.	Liebe Angela, letzte Woche ist etwas Witziges passiert.	True	picture story	26963	26973	Kolipsi_2_picture story_True
13984	LEONIDE	L2	DE_op_1_57X31A08_100.xml	4	"Deutsch ist wichtig, weil es eine schöne Sprache ist, und in Europa z.B.: „ Deutschland, ‌Bolzano, Insbruck, München... "", sprechen sie Deutsch."	"Deutsch ist wichtig, weil es eine schöne Sprache ist, und in Europa z.B.: „ Deutschland, ‌Bolzano, Innsbruck, München... "", sprechen sie Deutsch."	True	opinion	1423	1456	LEONIDE_opinion_True
4536	Kolipsi_1_L1	L1	M0226_1.xml	12	Liebe Charlotte, ich habe mich mal schlau gemacht, wohin wir in den Urlaub fahren könnten.	Liebe Charlotte, ich habe mich mal schlau gemacht, wohin wir in den Urlaub fahren könnten.	False	picture story	79172	79190	Kolipsi_1_L1_picture story_False
6212	Kolipsi_1_L2	L2	4927_1.xml	5	Sie hat 19 Jahre Alt.	Sie hat 19 Jahre alt.	True	picture story	22549	22555	Kolipsi_1_L2_picture story_True
5655	Kolipsi_1_L2	L2	4608_1.xml	7	Die Polizei hat sie viele frage gemacht.	Die Polizei hat sie viele Frage gemacht.	True	picture story	13746	13754	Kolipsi_1_L2_picture story_True
17123	LEONIDE	L2	DE_pic_2_57X34A13_54.xml	8	Sie hatten ein Komvortables Hotel und gingen jeden tag ans Meer.	Sie hatten ein komfortables Hotel und gingen jeden Tag ans Meer.	True	picture story	54838	54850	LEONIDE_picture story_True
3584	Kolipsi_1_L1	L1	M0176_2.xml	16	Viel Spaß beim aussuchen, du hast die Qual der Wahl!	Viel Spaß beim Aussuchen, du hast die Qual der Wahl!	True	opinion	62501	62513	Kolipsi_1_L1_opinion_True
